,Id,Amount,AccountId,CreatedDate,ClosedDate,OwnerId,IsWon,IsClosed,StageName,Phone Number,Industry,Type,RecordTypeId,Pricebook2Id
27,0066T000000ZTueqag,12429,0056T000000ZPCZqaE,2024-11-02 22:36:07.000,2034-08-02 22:36:07.000,0056T000000ZiaXqas,1,0,Closed Won,+1-477-913-2267x799,Business Services,Amendment,012840000004cb0XAE,01s840000000ZruAAU
28,0066T000000ZkWXqaA,23225,0056T000000ZIroqag,2024-11-04 20:40:55.000,2034-03-04 20:40:55.000,0056T000000ZCPoqao,0,1,Open,242-241-2938,Healthcare,Return,012840000004cb0XAE,01s840000000ZruAAU
29,0066T000000ZEtVqaw,65028,0056T000000Zijiqac,2024-11-03 20:23:37.000,2035-08-03 20:23:37.000,0056T000000ZKqHqaw,0,1,Open,(807)767-5860x944,"Energy, Utilities & Waste Treatment",Renewal,012840000004cb0XAE,01s840000000ZruAAU
30,0066T000000Zugtqac,17470,0056T000000ZcHCqaA,2024-10-31 03:57:24.000,2033-02-28 03:57:24.000,0056T000000ZCPoqao,1,0,Closed Won,(611)260-4282x2051,Consumer Services,Evaluation,012840000004cb0XAE,01s840000000ZruAAU
31,0066T000000Zfidqac,68228,0056T000000ZsBcqak,2024-10-30 13:48:22.000,2027-04-30 13:48:22.000,0056T000000ZvyJqas,1,0,Closed Won,+1-347-703-9713x416,Wholesale,Cancel,012840000004cb0XAE,01s840000000ZruAAU
32,0066T000000ZrEJqaA,34851,0056T000000ZuRDqaA,2024-10-28 13:53:06.000,2032-09-28 13:53:06.000,0056T000000ZzIAqaA,0,1,Open,+1-689-796-5190x66489,Banking,Rebill,012840000004cb0XAE,01s840000000ZruAAU
33,0066T000000ZECBqaE,43299,0056T000000ZDCEqaE,2024-11-03 04:05:13.000,2030-01-03 04:05:13.000,0056T000000Zfmcqac,0,1,Open,001-487-639-2996x21870,Security Software,Return,012840000004cb0XAE,01s840000000ZruAAU
34,0066T000000ZqMSqaA,97348,0056T000000ZIhcqag,2024-11-03 15:43:19.000,2034-05-03 15:43:19.000,0056T000000ZiUKqaA,1,0,Closed Won,239.880.2981,Utilities,Evaluation,012840000004cb0XAE,01s840000000ZruAAU
35,0066T000000ZuiTqas,32834,0056T000000ZuRDqaA,2024-11-05 04:28:36.000,2027-08-05 04:28:36.000,0056T000000ZPyrqag,1,0,Closed Won,(944)820-4970x0992,Real Estate,Amendment,012840000004cb0XAE,01s840000000ZruAAU
36,0066T000000ZrGIqaA,6598,0056T000000ZvsKqas,2024-10-29 08:46:49.000,2027-09-29 08:46:49.000,0056T000000ZPyrqag,1,0,Closed Won,884-698-9467,IT Services,Rebill,012840000004cb0XAE,01s840000000ZruAAU
37,0066T000000ZwUrqak,30778,0056T000000ZsBcqak,2024-10-27 15:49:17.000,2028-05-27 15:49:17.000,0056T000000ZMREqaE,1,0,Closed Won,+1-347-283-3325x678,Media & Entertainment,Rebill,012840000004cb0XAE,01s840000000ZruAAU
38,0066T000000ZlMcqak,17534,0056T000000ZxDrqak,2024-11-01 18:28:26.000,2026-08-01 18:28:26.000,0056T000000ZhPHqaA,1,0,Closed Won,(969)941-5306x74989,Consumer Products,Amendment,012840000004cb0XAE,01s840000000ZruAAU
39,0066T000000ZOHKqaE,55128,0056T000000Zfvlqac,2024-10-28 10:11:37.000,2033-02-28 10:11:37.000,0056T000000ZHRBqaE,1,0,Closed Won,320.672.6358,Mining,Rebill,012840000004cb0XAE,01s840000000ZruAAU
